,China,Anhui Sheng,Beijing Shi,Chongqing Shi,Fujian Sheng,Gansu Sheng,Guangdong Sheng,Guangxi Zhuangzu Zizhiqu,Guizhou Sheng,Hainan Sheng,Hebei Sheng,Heilongjiang Sheng,Henan Sheng,Hubei Sheng,Hunan Sheng,Jiangsu Sheng,Jiangxi Sheng,Jilin Sheng,Liaoning Sheng,Nei Mongol Zizhiqu,Ningxia Huizu Zizhiqu,Qinghai Sheng,Shaanxi Sheng,Shandong Sheng,Shanghai Shi,Shanxi Sheng,Sichuan Sheng,Tianjin Shi,Xinjiang Uygur Zizhiqu,Xizang Zizhiqu,Yunnan Sheng,Zhejiang Sheng
1996,6.88,15.56,10.27,15.28,18.18,5,21.03,19.98,14.9,24.18,9.49,1.64,14.38,15.16,16.47,14.95,17.67,4.67,8.04,3.75,7.42,-2.21,10.33,13.23,15.97,8.41,7.94,12.62,5.55,-2.15,15.61,16.18
1997,7.28,16.21,11.14,15.96,18.47,5.6,21.32,20.34,15.32,24.57,10.35,2.23,15.21,15.83,16.95,15.67,18.08,5.34,8.81,4.53,8.41,-2.69,11.33,14.03,16.63,9.36,8,13.49,6.68,-3.09,15.58,16.61
1998,7.97,16.79,11.55,16.56,19.42,6.31,22.12,21.15,16.14,25.23,10.77,2.57,15.66,16.45,17.75,16.17,18.96,5.89,9.27,5.14,8.94,-1.33,11.79,14.36,17.22,9.8,8.89,13.8,6.74,-1.71,16.46,17.43
1999,7.77,16.24,11.44,16.21,18.81,6.13,21.68,20.6,15.63,24.69,10.64,1.82,15.42,16.05,17.29,15.65,18.36,5.17,8.8,4.68,8.82,-1.41,11.66,14.18,16.55,9.73,8.73,13.75,6.95,-1.47,16.13,16.74
2000,7.21,16.25,10.64,15.65,18.66,5.5,21.44,20.12,14.98,24.47,9.97,1.41,15.08,15.77,16.86,15.57,18.24,4.59,8.24,4.09,8.25,-2.23,11.13,13.75,16.53,9.05,8.03,13.12,6.36,-2.2,15.54,16.8
2001,7.59,16.39,11.09,16.16,18.88,5.97,21.6,20.33,15.42,24.59,10.25,1.84,15.31,16.11,17.2,15.68,18.46,4.93,8.49,4.51,8.7,-1.73,11.54,13.86,16.7,9.4,8.56,13.32,6.74,-1.75,15.97,16.97
2002,7.79,16.71,11.36,16.31,19.19,6.08,21.9,20.62,15.61,24.88,10.61,2.42,15.6,16.3,17.37,16.02,18.72,5.4,8.94,4.97,8.76,-1.64,11.69,14.25,16.91,9.65,8.7,13.62,6.89,-1.94,16.07,17.25
2003,7.5,16.15,10.41,16,19.1,5.81,21.89,20.79,15.7,25.01,9.71,2.53,14.75,15.82,17.27,15.34,18.58,5.6,8.72,4.4,8.3,-1.49,11.06,13.36,16.55,8.75,8.78,12.8,6.04,-1.81,16.2,17.05
2004,7.73,16.72,11.35,16.03,18.91,5.83,21.54,20.31,15.31,24.53,10.58,2.45,15.49,16.25,17.31,16.03,18.56,5.76,9.18,4.91,8.41,-1.68,11.39,14.25,17.03,9.47,8.26,13.64,6.96,-1.78,15.63,17.16
2005,7.46,16.27,10.84,15.99,18.7,5.73,21.41,20.28,15.42,24.44,10.09,1.81,15.16,15.96,17.05,15.55,18.32,4.69,8.16,4.34,8.33,-1.57,11.23,13.68,16.6,9.22,8.63,13.12,6.28,-1.7,16.22,16.86
2006,7.98,16.93,11.39,16.62,19.16,6.37,21.83,20.73,15.87,24.88,10.68,1.73,15.88,16.64,17.63,16.2,18.82,5.05,8.66,4.69,9.04,-0.99,11.97,14.3,17.14,9.94,8.97,13.69,7.11,-1.2,16.3,17.39
2007,8.17,17.12,11.81,16.42,19.39,6.15,21.84,20.53,15.64,24.64,10.99,3.15,15.86,16.66,17.69,16.39,19.01,6.16,9.38,5.61,8.79,-1.35,11.8,14.52,17.39,9.95,8.7,13.98,7.32,-1.27,15.92,17.62
2008,7.6,16.36,11.06,15.9,18.77,5.57,21.16,19.85,15.07,23.91,10.29,2.94,15.24,16.07,17.07,15.62,18.4,5.88,8.93,4.92,8.23,-1.95,11.24,13.86,16.64,9.31,8.22,13.23,6.78,-1.86,15.64,16.91
2009,7.79,16.5,11.11,16.27,19.06,6.14,21.7,20.66,15.82,24.63,10.32,1.5,15.36,16.23,17.48,15.77,18.64,4.66,8.38,4.45,8.7,-1.1,11.51,13.96,16.75,9.48,8.95,13.34,6.75,-1.03,16.44,17.1
2010,7.56,16.14,10.52,16.04,18.77,6.11,21.43,20.44,15.59,24.47,9.86,1.31,15.15,15.93,17.1,15.45,18.3,4.26,7.75,3.91,8.67,-1.09,11.39,13.59,16.46,9.25,8.81,12.82,6.53,-1.09,16.48,16.79
2011,7.37,15.88,10.54,15.83,18.52,5.82,20.91,19.72,15.13,23.71,9.8,1.9,14.77,15.68,16.8,15.21,18.01,4.71,8.03,4.25,8.29,-1.47,11.06,13.38,16.26,8.95,8.44,12.83,6.43,-1.69,15.75,16.56
2012,7.06,15.87,10.02,15.65,18.61,5.35,21.22,20.02,15.13,24.24,9.42,1.2,14.78,15.57,16.63,15.2,18.03,4.2,7.72,3.47,7.99,-1.97,10.96,13.32,16.24,8.71,8.39,12.58,5.9,-1.85,16.16,16.58
2013,7.72,16.55,10.73,16.6,19.06,6.25,21.39,20.33,15.8,24.27,10.04,1.56,15.48,16.41,17.43,15.83,18.57,4.57,8.08,4.48,8.92,-1.41,11.82,13.77,16.93,9.42,8.81,12.98,7.13,-1.72,16.17,17.17
2014,7.71,16.58,11.8,15.99,19.19,5.92,21.83,20.58,15.6,24.77,11,2.24,15.36,16.01,17.17,16.03,18.62,5.53,9.23,5.25,8.7,-1.73,11.4,14.53,16.89,9.89,8.56,13.91,6.2,-1.72,16.27,17.25
2015,7.95,16.43,11.48,16.23,19.25,6.24,22.1,20.98,15.89,25.31,10.71,2.67,15.26,16.03,17.34,15.91,18.6,5.73,9.2,5.22,8.87,-1.57,11.49,14.35,16.94,9.68,8.66,13.73,7.21,-1.69,16.31,17.22
2016,7.92,16.84,11.36,16.37,19.48,6.31,21.99,20.75,15.81,24.95,10.66,1.61,15.56,16.35,17.47,16.29,18.87,5.09,8.96,4.61,8.87,-1.25,11.6,14.54,17.34,9.73,8.82,13.71,7.09,-1.18,16.19,17.62
2017,8.1,17.03,11.91,16.28,19.55,6.5,22.08,20.71,15.68,24.86,11.18,2.48,15.77,16.44,17.52,16.46,18.97,5.63,9.24,5.38,9.1,-1.17,11.75,14.82,17.36,10.14,8.75,14.17,7.05,-1.27,16.08,17.68
2018,7.75,16.88,11.36,16.26,19.49,5.89,22.04,20.65,15.64,24.8,10.69,2.33,15.63,16.36,17.47,16.25,18.93,5.4,8.85,4.96,8.66,-1.69,11.53,14.46,17.22,9.78,8.63,13.65,6.37,-1.57,15.96,17.53
2019,8.01,17,11.64,16.33,19.65,6.13,22.37,21.11,16,25.48,10.97,2.74,15.75,16.34,17.53,16.45,19.02,6.07,9.51,5.17,8.82,-1.58,11.58,14.82,17.32,9.91,8.8,14.04,6.91,-1.67,16.6,17.66
2020,7.89,16.87,11.15,16.18,19.78,6.03,22.37,20.98,15.79,25.32,10.55,2.83,15.46,16.23,17.5,16.26,19.09,5.81,9.14,5.04,8.68,-1.64,11.39,14.47,17.3,9.56,8.68,13.65,6.77,-1.73,16.33,17.74
2021,8.19,17.32,11.66,16.63,20.01,6.37,22.59,21.2,16.16,25.28,10.99,2.7,15.96,16.72,17.94,16.69,19.46,5.91,9.37,5.29,9.03,-1.32,11.81,14.86,17.77,10.03,9.03,14.03,7.05,-1.35,16.61,18.04
